date,author,start_price,end_price,year,tech,decade,dimension,technique,category
2003.0,Lembit,447.38,447.38,1970.0,"õli, lõuend",1970.0,1690.5,Oil on canvas,Oil paint
2003.0,Richard,1469.97,2173.0,1960.0,"õli, papp",1960.0,1464.75,Oil on cardboard,Oil paint
2003.0,Richard,1597.79,2173.0,1962.0,"õli, lõuend",1960.0,3128.0,Oil on canvas,Oil paint
2003.0,Ardo,607.16,990.63,1940.0,"õli, lõuend",1940.0,5160.0,Oil on canvas,Oil paint
2003.0,Priidu,958.67,1246.28,1963.0,"õli, kartong",1960.0,3718.0,Oil on cardboard,Oil paint
2003.0,Paul,1661.7,1789.53,1920.0,"õli, kartong",1920.0,616.0,Oil on cardboard,Oil paint
2003.0,Nigul,607.16,830.85,1960.0,"õli, lõuend",1960.0,1617.0,Oil on canvas,Oil paint
2003.0,Elmar,2876.02,3227.54,1959.0,"õli, lõuend",1950.0,4116.0,Oil on canvas,Oil paint
2003.0,Elmar,1406.06,1406.06,1967.0,"tempera, kartong",1960.0,1890.0,Tempera,Other paint
2003.0,Roman,1853.44,3898.61,1920.0,"õli, vineer",1920.0,1891.5,Oil on wood,Oil paint
2003.0,Valdur,575.2,862.81,1962.0,"õli, kartong",1960.0,1218.75,Oil on cardboard,Oil paint
2003.0,Valdur,607.16,958.67,1961.0,"õli, kartong",1960.0,1360.0,Oil on cardboard,Oil paint
2003.0,Varmo,766.94,1086.5,1959.0,"õli, kartong",1950.0,1232.5,Oil on cardboard,Oil paint
2003.0,Varmo,766.94,1086.5,1967.0,"õli, kartong",1960.0,3230.0,Oil on cardboard,Oil paint
2003.0,Kristjan,7988.96,8340.47,1928.0,"akvarell, guašš, paber",1920.0,1703.76,Watercolour,Other paint
2003.0,Richard,958.67,990.63,1955.0,"õli, kartong",1950.0,875.0,Oil on cardboard,Oil paint
2003.0,Ardo,958.67,1246.28,1963.0,"õli, lõuend",1960.0,5200.0,Oil on canvas,Oil paint
2003.0,Johannes,511.29,511.29,1970.0,"akvarell, paber",1970.0,2594.75,Watercolour,Other paint
2003.0,Ado,1853.44,4505.77,1944.0,"õli, vineer",1940.0,2572.4,Oil on wood,Oil paint
2003.0,Arnold Peeter,926.72,926.72,1932.0,"õli, kartong",1930.0,3588.0,Oil on cardboard,Oil paint
2002.0,Ellinor Aiki,1182.37,1278.23,1960.0,"õli, papp",1960.0,949.0,Oil on cardboard,Oil paint
2002.0,Ida,690.25,881.98,1959.0,"õli, lõuend",1950.0,3405.5,Oil on canvas,Oil paint
2002.0,Ann Audova,1725.61,2204.95,1930.0,"õli, vineer",1930.0,1872.0,Oil on wood,Oil paint
2002.0,Märt Bormeister,766.94,1693.66,1958.0,"õli, lõuend papil",1950.0,1697.5,Oil on cardboard,Oil paint
2002.0,Karl Burman vanem,383.47,734.98,1947.0,"akvarell, paber",1940.0,994.05,Watercolour,Other paint
2002.0,Nigul Espe,1533.88,1757.57,1942.0,"õli, lõuend",1940.0,3610.0,Oil on canvas,Oil paint
2002.0,Jaan Grünberg,703.03,1214.32,1960.0,"õli, kartong",1960.0,875.0,Oil on cardboard,Oil paint
2002.0,August Jansen,2460.6,2748.2,1930.0,"tempera, papp",1930.0,4028.25,Tempera,Other paint
2002.0,Andrei Jegorov,766.94,1406.06,1928.0,"guašš, paber",1920.0,775.5,Gouache,Other paint
2002.0,Andrus Johani,1022.59,1821.48,1937.0,"akvarell, guašš, paber",1930.0,500.0,Watercolour,Other paint
2002.0,Märt Laarman,223.69,287.6,1942.0,"puugravüür, käsitrükk",1940.0,536.25,Wood cut,Other
2002.0,Ekso Lepp,255.65,383.47,1947.0,"puugravüür, paber",1940.0,399.5,Wood cut,Other
2002.0,Valerian Loik,511.29,511.29,1960.0,"õli, lõuend",1960.0,9059.75,Oil on canvas,Oil paint
2002.0,Ants Murakin,1406.06,3195.58,1930.0,"õli, lõuend",1930.0,3450.5799999999995,Oil on canvas,Oil paint
